Job_Name,Description,Risk_Level,Shock_Risk_Score,Next_Week_Forecast,Risk_Distribution_Factors,Historical_Posting_Volume,Hiring_Trends_&_Future_Predictions_ARIMA,Future_Scope,How_To_Solve_Risk
Software Developer,Develops software applications,Low,18,Increase,AI Growth High;Automation Low,12000,Upward Trend Predicted,Very High demand,Upgrade AI and cloud skills
Data Analyst,Analyzes business data insights,Low,22,Increase,Data Demand Rising,9500,Upward Trend Predicted,High demand,Learn ML tools
AI Engineer,Builds AI systems and models,Low,15,Increase,Innovation Investment High,8000,Strong Upward Forecast,Extremely High growth,Continuous AI research
Web Developer,Designs websites and apps,Medium,45,Stable,Freelance Competition Moderate,11000,Stable Growth,Stable demand,Learn modern frameworks
Cybersecurity Analyst,Protects systems from attacks,Low,20,Increase,Cyber Threats Rising,7000,Upward Trend,Very High demand,Gain ethical hacking certification
Accountant,Manages financial accounts,Medium,55,Stable,Automation Moderate,8500,Stable Forecast,Stable demand,Learn financial analytics
Bank Clerk,Handles banking transactions,High,82,Decrease,Digital Banking Automation High,6000,Downward Trend,Declining field,Upskill in fintech
Teacher,Educates students,Low,25,Stable,EdTech Moderate,10000,Stable Forecast,Stable career,Adopt digital teaching
Mechanical Engineer,Designs mechanical systems,Medium,50,Stable,Automation Moderate,7500,Stable Growth,Moderate growth,Learn robotics tech
Civil Engineer,Plans infrastructure projects,Low,28,Increase,Infrastructure Growth High,9000,Upward Trend,Strong growth,Adopt smart construction
Graphic Designer,Creates digital designs,Medium,48,Stable,AI Tools Rising,7200,Stable Forecast,Freelance growth,Learn UI UX
Content Writer,Writes articles and blogs,Medium,60,Decrease,AI Content Tools High,10000,Downward Slight Trend,Competitive field,Specialize in niche writing
Digital Marketer,Promotes brands online,Low,30,Increase,Ecommerce Growth High,9500,Upward Trend,High demand,Learn AI marketing
HR Manager,Manages workforce,Medium,52,Stable,HR Automation Moderate,6800,Stable Forecast,Stable career,Use HR analytics
Nurse,Provides patient care,Low,18,Increase,Healthcare Demand High,8500,Strong Upward Forecast,Very High demand,Continuous training
Doctor,Treats patients medically,Low,10,Increase,Medical Necessity High,7800,Stable Upward Trend,Very Stable career,Specialize in medicine
Driver,Operates vehicles,High,88,Decrease,Self Driving Tech High,15000,Downward Trend,Automation risk,Learn logistics management
